Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
B73Htrhm,+N,21.1,13.46,15.58,2.5
B73Htrhm,+N,,13.46,15.58,2.5
B75,+N,16.68333333,3.25,8.4,3.3
B75,+N,16.68333333,3.25,8.4,5.1
B75,+N,16.68333333,3.25,7.75,3.3
B75,+N,16.68333333,3.25,7.75,5.1
B75,+N,15.7,3.25,7.75,3.3
B75,+N,15.7,3.25,7.75,5.1
B75,+N,15.7,3.25,8.4,3.3
B75,+N,15.7,3.25,8.4,5.1
B76,+N,25.25,13.925,9.4,5.3
B76,+N,25.25,13.925,9.4,6
B76,+N,25.625,11,11.55,5.3
B76,+N,25.625,11,11.55,6
B76,+N,25.25,13.925,11.55,5.3
B76,+N,25.25,13.925,11.55,6
B76,+N,25.625,13.925,9.4,5.3
B76,+N,25.625,13.925,9.4,6
B76,+N,25.25,11,11.55,5.3
B76,+N,25.25,11,11.55,6
B76,+N,25.25,11,9.4,5.3
B76,+N,25.25,11,9.4,6
B76,+N,25.625,11,9.4,5.3
B76,+N,25.625,11,9.4,6
B76,+N,25.625,13.925,11.55,5.3
B76,+N,25.625,13.925,11.55,6
B77,+N,21.775,8.033333333,12,5.6
B77,+N,21.775,8.033333333,12,5.8
B77,+N,21.775,8.033333333,13.4175,5.6
B77,+N,21.775,8.033333333,13.4175,5.8
B77,+N,21.775,10.775,12,5.6
B77,+N,21.775,10.775,12,5.8
B77,+N,21.775,10.775,13.4175,5.6
B77,+N,21.775,10.775,13.4175,5.8
B77,+N,18.86666667,8.033333333,12,5.6
B77,+N,18.86666667,8.033333333,12,5.8
B77,+N,18.86666667,8.033333333,13.4175,5.6
B77,+N,18.86666667,8.033333333,13.4175,5.8
B77,+N,18.86666667,10.775,12,5.6
B77,+N,18.86666667,10.775,12,5.8
B77,+N,18.86666667,10.775,13.4175,5.6
B77,+N,18.86666667,10.775,13.4175,5.8
B79,+N,25,14,12.35,4.1
B79,+N,25,14,12.35,6
B79,+N,25,14,9.18,4.1
B79,+N,25,14,9.18,6
B79,+N,25,6.18,12.35,4.1
B79,+N,25,6.18,12.35,6
B79,+N,25,6.18,9.18,4.1
B79,+N,25,6.18,9.18,6
B79,+N,23.4,14,12.35,4.1
B79,+N,23.4,14,12.35,6
B79,+N,23.4,14,9.18,4.1
B79,+N,23.4,14,9.18,6
B79,+N,23.4,6.18,12.35,4.1
B79,+N,23.4,6.18,12.35,6
B79,+N,23.4,6.18,9.18,4.1
B79,+N,23.4,6.18,9.18,6
B84,+N,24.25,13.25,13.52,4.6
B84,+N,24.25,13.25,13.52,5
B84,+N,24.25,16.74,11.65,4.6
B84,+N,24.25,16.74,11.65,5
B84,+N,24.25,13.25,11.65,4.6
B84,+N,24.25,13.25,11.65,5
B84,+N,25.62,13.25,13.52,4.6
B84,+N,25.62,13.25,13.52,5
B84,+N,25.62,16.74,11.65,4.6
B84,+N,25.62,16.74,11.65,5
B84,+N,24.25,16.74,13.52,4.6
B84,+N,24.25,16.74,13.52,5
B84,+N,25.62,13.25,11.65,4.6
B84,+N,25.62,13.25,11.65,5
B84,+N,25.62,16.74,13.52,4.6
B84,+N,25.62,16.74,13.52,5
B97,+N,21.875,11.975,12.48,5.1
B97,+N,21.875,11.975,12.48,5.3
B97,+N,21.875,11.975,12.35,5.1
B97,+N,21.875,11.975,12.35,5.3
B97,+N,21.875,14.78,12.48,5.1
B97,+N,21.875,14.78,12.48,5.3
B97,+N,21.875,14.78,12.35,5.1
B97,+N,21.875,14.78,12.35,5.3
B97,+N,23.44,11.975,12.48,5.1
B97,+N,23.44,11.975,12.48,5.3
B97,+N,23.44,11.975,12.35,5.1
B97,+N,23.44,11.975,12.35,5.3
B97,+N,23.44,14.78,12.48,5.1
B97,+N,23.44,14.78,12.48,5.3
