Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
H99,20.98,10.22,13.05,4.9
H99,20.98,10.22,13.05,5.4
H99,20.98,6.3,14.5,4.9
H99,20.98,6.3,14.5,5.4
H99,20.98,10.22,14.5,4.9
H99,20.98,10.22,14.5,5.4
H99,20.15,10.22,13.05,4.9
H99,20.15,10.22,13.05,5.4
H99,20.15,6.3,14.5,4.9
H99,20.15,6.3,14.5,5.4
H99,20.15,10.22,14.5,4.9
H99,20.15,10.22,14.5,5.4
H99,20.98,6.3,13.05,4.9
H99,20.98,6.3,13.05,5.4
Ill.Hy,24.98,7.2,12.11666667,6.7
Ill.Hy,24.98,7.2,12.11666667,6.7
Ill.Hy,24.98,9.64,10.93333333,6.7
Ill.Hy,24.98,9.64,10.93333333,6.7
Ill.Hy,27.6,9.64,12.11666667,6.7
Ill.Hy,27.6,9.64,12.11666667,6.7
Ill.Hy,27.6,7.2,10.93333333,6.7
Ill.Hy,27.6,7.2,10.93333333,6.7
Ill.Hy,24.98,7.2,10.93333333,6.7
Ill.Hy,24.98,7.2,10.93333333,6.7
Ill.Hy,24.98,9.64,12.11666667,6.7
Ill.Hy,24.98,9.64,12.11666667,6.7
Ill.Hy,27.6,7.2,12.11666667,6.7
Ill.Hy,27.6,7.2,12.11666667,6.7
Ill.Hy,27.6,9.64,10.93333333,6.7
Ill.Hy,27.6,9.64,10.93333333,6.7
K4,,13.525,15.78333333,5
K4,,13.525,15.78333333,3.9
K4,23.175,13.525,15.78333333,5
K4,23.175,13.525,15.78333333,3.9
K4,,13.525,14.03333333,5
K4,,13.525,14.03333333,3.9
K4,23.175,13.525,14.03333333,5
K4,23.175,13.525,14.03333333,3.9
K55,30.075,17.96666667,14.18333333,5
K55,30.075,17.96666667,14.18333333,4.4
K55,30.075,17.96666667,13.98333333,5
K55,30.075,17.96666667,13.98333333,4.4
K55,30.43333333,14.8,13.98333333,5
K55,30.43333333,14.8,13.98333333,4.4
K55,30.075,14.8,14.18333333,5
K55,30.075,14.8,14.18333333,4.4
K55,30.43333333,17.96666667,14.18333333,5
K55,30.43333333,17.96666667,14.18333333,4.4
K55,30.43333333,14.8,14.18333333,5
K55,30.43333333,14.8,14.18333333,4.4
K55,30.075,14.8,13.98333333,5
K55,30.075,14.8,13.98333333,4.4
K55,30.43333333,17.96666667,13.98333333,5
K55,30.43333333,17.96666667,13.98333333,4.4
K64,30.1,16.46666667,13.6,5.6
K64,25,16.46666667,11.2,5.6
K64,30.1,16.46666667,11.2,5.6
K64,30.1,19.675,11.2,5.6
K64,30.1,19.675,13.6,5.6
K64,25,16.46666667,13.6,5.6
K64,25,19.675,13.6,5.6
K64,25,19.675,11.2,5.6
L317,20.75,13.75,15.17142857,4.7
L317,20.75,13.75,16.95,4.7
L317,,13.75,16.95,4.7
L317,,13.75,15.17142857,4.7
M14,20.53333333,6.45,16.02857143,4.2
M14,20.53333333,6.45,16.02857143,4.9
M14,20.53333333,6.45,15.58333333,4.2
M14,20.53333333,6.45,15.58333333,4.9
M14,20.53333333,4.9,15.58333333,4.2
M14,20.53333333,4.9,15.58333333,4.9
M14,20.7,4.9,16.02857143,4.2
M14,20.7,4.9,16.02857143,4.9
M14,20.53333333,4.9,16.02857143,4.2
M14,20.53333333,4.9,16.02857143,4.9
M14,20.7,4.9,15.58333333,4.2
M14,20.7,4.9,15.58333333,4.9
M14,20.7,6.45,15.58333333,4.2
M14,20.7,6.45,15.58333333,4.9
M14,20.7,6.45,16.02857143,4.2
M14,20.7,6.45,16.02857143,4.9
M162W,22.35,15.65,13.02857143,6.1
M162W,,15.65,13.02857143,6.1
M162W,,15.65,11.98333333,6.1
M162W,22.35,15.65,11.98333333,6.1
M37W,,9.125,11.55,5.2
M37W,,9.125,11.55,5.5
M37W,22.15,9.125,11.55,5.2
M37W,22.15,9.125,11.55,5.5
M37W,,9.125,14.82857143,5.2
M37W,,9.125,14.82857143,5.5
M37W,22.15,9.125,14.82857143,5.2
M37W,22.15,9.125,14.82857143,5.5
Mo17,19.575,9.425,18.23333333,6.6
Mo17,19.575,9.425,18.23333333,7.1
Mo17,19.575,7.1,17.28333333,6.6
Mo17,19.575,7.1,17.28333333,7.1
Mo17,19.575,9.425,17.28333333,6.6
Mo17,19.575,9.425,17.28333333,7.1
Mo17,19.575,7.1,18.23333333,6.6
Mo17,19.575,7.1,18.23333333,7.1
Mo17,20.575,7.1,18.23333333,6.6
Mo17,20.575,7.1,18.23333333,7.1
Mo17,20.575,9.425,18.23333333,6.6
Mo17,20.575,9.425,18.23333333,7.1
Mo17,20.575,9.425,17.28333333,6.6
Mo17,20.575,9.425,17.28333333,7.1
Mo17,20.575,7.1,17.28333333,6.6
Mo17,20.575,7.1,17.28333333,7.1
Mo1W,23.33333333,13.15,10.47142857,3.8
Mo1W,23.33333333,13.15,10.47142857,4.7
Mo1W,23.33333333,6.033333333,12.93333333,3.8
Mo1W,23.33333333,6.033333333,12.93333333,4.7
Mo1W,23.33333333,13.15,12.93333333,3.8
Mo1W,23.33333333,13.15,12.93333333,4.7
Mo1W,23.33333333,6.033333333,10.47142857,3.8
Mo1W,23.33333333,6.033333333,10.47142857,4.7
Mo1W,23.325,6.033333333,12.93333333,3.8
Mo1W,23.325,6.033333333,12.93333333,4.7
Mo1W,23.325,13.15,12.93333333,3.8
Mo1W,23.325,13.15,12.93333333,4.7
Mo1W,23.325,13.15,10.47142857,3.8
Mo1W,23.325,13.15,10.47142857,4.7
Mo1W,23.325,6.033333333,10.47142857,3.8
Mo1W,23.325,6.033333333,10.47142857,4.7
Mo44,21.63333333,16.9,16.36666667,5.4
Mo44,18.73333333,10.73333333,16.36666667,5.4
Mo44,21.63333333,10.73333333,16.36666667,5.4
Mo44,18.73333333,16.9,16.36666667,5.4
Mo44,18.73333333,16.9,13.11666667,5.4
Mo44,21.63333333,10.73333333,13.11666667,5.4
Mo44,21.63333333,16.9,13.11666667,5.4
Mo44,18.73333333,10.73333333,13.11666667,5.4
Mo45,22.275,13.975,18.11666667,3.3
Mo45,22.275,13.975,18.11666667,3.9
Mo45,22.275,15.75,18.11666667,3.3
Mo45,22.275,15.75,18.11666667,3.9
Mo45,22.275,13.975,17.31666667,3.3
Mo45,22.275,13.975,17.31666667,3.9
Mo45,23.875,15.75,17.31666667,3.3
Mo45,23.875,15.75,17.31666667,3.9
